algorithm,n_weapon_types,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Modified,10,17,10,39.805379116360655,0.00784949999069795,1,improvement_pct=0.0000,10x10,22,instance_022.json
ACO_Original,10,17,10,61.581949815053036,2.3555424999794923,73,,10x10,22,instance_022.json
ACO_Modified,10,17,10,39.805379116360655,2.3597306999727152,69,improvement_pct=0.0000,10x10,22,instance_022.json
MMR_Original,10,25,10,4.9497192367431575,0.0007649000035598874,25,,10x10,23,instance_023.json
MMR_Modified,10,25,10,4.9497192367431575,0.012881400005426258,1,improvement_pct=0.0000,10x10,23,instance_023.json
ACO_Original,10,25,10,17.669977632829124,2.5691335999872535,36,,10x10,23,instance_023.json
ACO_Modified,10,25,10,4.9497192367431575,2.5326216999674216,35,improvement_pct=0.0000,10x10,23,instance_023.json
MMR_Original,10,18,10,19.762823350431354,0.0004841000190936029,18,,10x10,24,instance_024.json
MMR_Modified,10,18,10,19.762823350431354,0.008084400033112615,1,improvement_pct=0.0000,10x10,24,instance_024.json
ACO_Original,10,18,10,41.81906436366279,2.360038299986627,57,,10x10,24,instance_024.json
ACO_Modified,10,18,10,19.762823350431354,2.373542000015732,64,improvement_pct=0.0000,10x10,24,instance_024.json
MMR_Original,10,19,10,6.1638284021755005,0.00047769997036084533,19,,10x10,25,instance_025.json
MMR_Modified,10,19,10,6.1638284021755005,0.009298400022089481,1,improvement_pct=0.0000,10x10,25,instance_025.json
ACO_Original,10,19,10,20.011235326199987,2.3993650999618694,60,,10x10,25,instance_025.json
ACO_Modified,10,19,10,6.1638284021755005,2.3883005000534467,60,improvement_pct=0.0000,10x10,25,instance_025.json
MMR_Original,10,15,10,37.104021599771485,0.0003431999939493835,15,,10x10,26,instance_026.json
MMR_Modified,10,15,10,37.104021599771485,0.007613200054038316,1,improvement_pct=0.0000,10x10,26,instance_026.json
ACO_Original,10,15,10,64.51013764503661,2.317581199982669,90,,10x10,26,instance_026.json
ACO_Modified,10,15,10,37.104021599771485,2.3180878999992274,89,improvement_pct=0.0000,10x10,26,instance_026.json
MMR_Original,10,16,10,21.786145484999885,0.00036040000850334764,16,,10x10,27,instance_027.json
MMR_Modified,10,16,10,21.786145484999885,0.010340999986510724,1,improvement_pct=0.0000,10x10,27,instance_027.json
ACO_Original,10,16,10,48.453027077343144,2.329989799996838,79,,10x10,27,instance_027.json
ACO_Modified,10,16,10,21.786145484999885,2.343672399991192,324,improvement_pct=0.0000,10x10,27,instance_027.json
MMR_Original,10,20,10,7.511293743614499,0.0005923999706283212,20,,10x10,28,instance_028.json
MMR_Modified,10,20,10,7.511293743614499,0.009859499987214804,1,improvement_pct=0.0000,10x10,28,instance_028.json
ACO_Original,10,20,10,48.05988328523999,2.4015551999909803,304,,10x10,28,instance_028.json
ACO_Modified,10,20,10,7.511293743614499,2.412001099961344,135,improvement_pct=0.0000,10x10,28,instance_028.json
MMR_Original,10,18,10,7.720484153243342,0.0007473999867215753,18,,10x10,29,instance_029.json
MMR_Modified,10,18,10,7.720484153243342,0.007702299975790083,1,improvement_pct=0.0000,10x10,29,instance_029.json
ACO_Original,10,18,10,21.594227859569266,2.382242900028359,58,,10x10,29,instance_029.json
ACO_Modified,10,18,10,7.720484153243342,2.396934899967164,50,improvement_pct=0.0000,10x10,29,instance_029.json
MMR_Original,10,21,10,12.234714799061848,0.0005834000185132027,21,,10x10,30,instance_030.json
MMR_Modified,10,21,10,12.234714799061848,0.012803799996618181,1,improvement_pct=0.0000,10x10,30,instance_030.json
ACO_Original,10,21,10,42.13932594824566,2.4475724000367336,38,,10x10,30,instance_030.json
ACO_Modified,10,21,10,12.234714799061848,2.4309041000087745,43,improvement_pct=0.0000,10x10,30,instance_030.json
MMR_Original,20,38,20,7.777503044469739,0.0030903000151738524,38,,20x20,1,instance_001.json
MMR_Modified,20,38,20,7.777503044469739,0.05718679999699816,1,improvement_pct=0.0000,20x20,1,instance_001.json
ACO_Original,20,38,20,95.69207687445882,3.686127800028771,20,,20x20,1,instance_001.json
ACO_Modified,20,38,20,7.777503044469739,3.646026999980677,18,improvement_pct=0.0000,20x20,1,instance_001.json
MMR_Original,20,40,20,14.83627514848255,0.0036090000066906214,40,,20x20,2,instance_002.json
MMR_Modified,20,40,20,14.83627514848255,0.06385230005253106,1,improvement_pct=0.0000,20x20,2,instance_002.json
ACO_Original,20,40,20,138.27002997451862,3.7503731999895535,19,,20x20,2,instance_002.json
ACO_Modified,20,40,20,14.83627514848255,3.662973599974066,18,improvement_pct=0.0000,20x20,2,instance_002.json
MMR_Original,20,34,20,19.511452497623495,0.003312300017569214,34,,20x20,3,instance_003.json
MMR_Modified,20,34,20,18.56598795866563,0.11939900001743808,3,improvement_pct=4.8457,20x20,3,instance_003.json
ACO_Original,20,34,20,161.404475945769,3.42553319997387,22,,20x20,3,instance_003.json
ACO_Modified,20,34,20,19.511452497623495,3.4816829999908805,26,improvement_pct=0.0000,20x20,3,instance_003.json
MMR_Original,20,33,20,14.594509319759144,0.002449900028295815,33,,20x20,4,instance_004.json
MMR_Modified,20,33,20,14.594509319759144,0.046083199966233224,1,improvement_pct=0.0000,20x20,4,instance_004.json
ACO_Original,20,33,20,100.18468664570275,3.378569799999241,16,,20x20,4,instance_004.json
ACO_Modified,20,33,20,14.594509319759144,3.4333888000110164,26,improvement_pct=0.0000,20x20,4,instance_004.json
MMR_Original,20,48,20,3.6938371406405137,0.004973500035703182,48,,20x20,5,instance_005.json
MMR_Modified,20,48,20,3.5849272703618675,0.13084240001626313,2,improvement_pct=2.9484,20x20,5,instance_005.json
ACO_Original,20,48,20,104.60865568822834,4.106913600000553,16,,20x20,5,instance_005.json
ACO_Modified,20,48,20,3.6938371406405137,3.923609999998007,15,improvement_pct=0.0000,20x20,5,instance_005.json
MMR_Original,20,40,20,8.958881067180933,0.003964599978644401,40,,20x20,6,instance_006.json
MMR_Modified,20,40,20,8.958881067180933,0.0573869000072591,1,improvement_pct=0.0000,20x20,6,instance_006.json
