algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
GA_Modified,10,20,481.78508704692365,5.010236000001896,468,improvement_pct=2.5490,small_scarce,8,instance_008.json
MMR_Original,10,20,532.1720544010175,0.00015410000924021006,10,,small_scarce,9,instance_009.json
MMR_Modified,10,20,518.5912621583334,0.038038099999539554,3,improvement_pct=2.5520,small_scarce,9,instance_009.json
GA_Original,10,20,514.4046177532938,5.004500699986238,967,,small_scarce,9,instance_009.json
GA_Modified,10,20,532.1720544010175,5.0088551999942865,648,improvement_pct=0.0000,small_scarce,9,instance_009.json
MMR_Original,10,20,471.73734811064816,0.00018679999629966915,10,,small_scarce,10,instance_010.json
MMR_Modified,10,20,468.60914892881414,0.001049000013154,4,improvement_pct=0.6631,small_scarce,10,instance_010.json
GA_Original,10,20,467.36241716704586,5.000218100001803,607,,small_scarce,10,instance_010.json
GA_Modified,10,20,465.41434376794217,5.005668099998729,252,improvement_pct=1.3404,small_scarce,10,instance_010.json
MMR_Original,10,20,497.35841986486275,0.00011199997970834374,10,,small_scarce,11,instance_011.json
MMR_Modified,10,20,493.3937797854876,0.0007576999778393656,4,improvement_pct=0.7971,small_scarce,11,instance_011.json
GA_Original,10,20,493.3937797854875,5.000463300006231,5604,,small_scarce,11,instance_011.json
GA_Modified,10,20,493.3937797854875,5.0020439000218175,3165,improvement_pct=0.7971,small_scarce,11,instance_011.json
MMR_Original,10,20,420.87350176249987,0.00016090000281110406,10,,small_scarce,12,instance_012.json
MMR_Modified,10,20,420.87350176249987,0.0009512999968137592,2,improvement_pct=0.0000,small_scarce,12,instance_012.json
GA_Original,10,20,421.3273130609222,5.005374700005632,3607,,small_scarce,12,instance_012.json
GA_Modified,10,20,410.8525926001726,5.005195399979129,519,improvement_pct=2.3810,small_scarce,12,instance_012.json
MMR_Original,10,20,401.009885778851,0.00016530000721104443,10,,small_scarce,13,instance_013.json
MMR_Modified,10,20,391.0505946471907,0.002119000011589378,3,improvement_pct=2.4836,small_scarce,13,instance_013.json
GA_Original,10,20,412.1416095758784,5.002922199986642,863,,small_scarce,13,instance_013.json
GA_Modified,10,20,391.05059464719074,5.002828199998476,660,improvement_pct=2.4836,small_scarce,13,instance_013.json
MMR_Original,10,20,551.3546659755182,0.0001574999769218266,10,,small_scarce,14,instance_014.json
MMR_Modified,10,20,551.3546659755182,0.0006740999815519899,2,improvement_pct=0.0000,small_scarce,14,instance_014.json
GA_Original,10,20,530.2755297716535,5.000181800016435,885,,small_scarce,14,instance_014.json
GA_Modified,10,20,550.6479064531973,5.010377200000221,580,improvement_pct=0.1282,small_scarce,14,instance_014.json
MMR_Original,10,20,414.72836005330396,0.00023259999579750001,10,,small_scarce,15,instance_015.json
MMR_Modified,10,20,400.2323557773998,0.0020391000143717974,4,improvement_pct=3.4953,small_scarce,15,instance_015.json
GA_Original,10,20,402.5125185408995,5.000069900008384,845,,small_scarce,15,instance_015.json
GA_Modified,10,20,414.72836005330396,5.000955099996645,621,improvement_pct=0.0000,small_scarce,15,instance_015.json
MMR_Original,10,20,431.4429646460701,0.00010549998842179775,10,,small_scarce,16,instance_016.json
MMR_Modified,10,20,431.4429646460701,0.0007921999786049128,2,improvement_pct=0.0000,small_scarce,16,instance_016.json
GA_Original,10,20,419.5819264600941,5.002391499991063,1096,,small_scarce,16,instance_016.json
GA_Modified,10,20,418.7896809857177,5.001732500008075,561,improvement_pct=2.9328,small_scarce,16,instance_016.json
MMR_Original,10,20,539.7393305512762,0.00012959999730810523,10,,small_scarce,17,instance_017.json
MMR_Modified,10,20,539.7393305512762,0.0007545000116806477,2,improvement_pct=0.0000,small_scarce,17,instance_017.json
GA_Original,10,20,535.2340358894511,5.0049700000090525,896,,small_scarce,17,instance_017.json
GA_Modified,10,20,539.7393305512762,5.0007150000019465,341,improvement_pct=0.0000,small_scarce,17,instance_017.json
MMR_Original,10,20,481.45304967804594,0.0005601000157184899,10,,small_scarce,18,instance_018.json
MMR_Modified,10,20,467.7954208503984,0.0063677999714855105,3,improvement_pct=2.8368,small_scarce,18,instance_018.json
GA_Original,10,20,477.70892819481656,5.003060799994273,913,,small_scarce,18,instance_018.json
GA_Modified,10,20,467.79542085039844,5.001083299983293,403,improvement_pct=2.8368,small_scarce,18,instance_018.json
MMR_Original,10,20,462.3323270605289,0.00013279999257065356,10,,small_scarce,19,instance_019.json
MMR_Modified,10,20,461.57281343788515,0.007550800015451387,3,improvement_pct=0.1643,small_scarce,19,instance_019.json
GA_Original,10,20,445.231880104295,5.000320799998008,669,,small_scarce,19,instance_019.json
